time,joint_positions,gripper_state,cube_position,target_position,actions,camera1_image_paths,camera2_image_paths
0,"[-0.0026447235140949488, -1.8513911962509155, 0.2945704758167267, -0.002811265178024769, 9.360270632896572e-05, -3.1108309485716745e-05, -3.845941319013946e-05, -5.288283500703983e-05, 0.011795649304986, 0.03158601373434067, 0.019958361983299255, 0.07970396429300308, -0.019850878044962883, -0.07791735976934433]","[-3.845941319013946e-05, -5.288283500703983e-05]","[0.6000000238418579, 0.30000001192092896, 0.8418251276016235]","[0.8, 0.7, 1.0]","{'joint_positions': array([-3.6322298e-03, -1.8554764e+00,  3.3556771e-01, -1.8720742e-02,
        5.9545838e-04,  6.8909791e-03], dtype=float32), 'joint_velocities': array([-0.05925076, -0.24511336,  1.6266028 , -0.9545657 ,  0.03011148,
        0.41532522], dtype=float32), 'joint_efforts': None, 'joint_indices': [0, 1, 2, 3, 4, 5]}",data/images/camera1/frame_0.npy,data/images/camera2/frame_0.npy
1,"[-0.0026896020863205194, -1.851104974746704, 0.32167619466781616, -0.019023651257157326, 0.0006593948346562684, 0.006988729350268841, 0.00015948922373354435, -1.9156192138325423e-05, 0.013234077021479607, 0.011297989636659622, 0.03287314996123314, 0.029004842042922974, -0.03209257498383522, -0.028139812871813774]","[0.00015948922373354435, -1.9156192138325423e-05]","[0.6000000238418579, 0.30000001192092896, 0.8309246301651001]","[0.8, 0.7, 1.0]","{'joint_positions': array([-2.7021496e-03, -1.8510727e+00,  3.5024741e-01, -3.4573521e-02,
        1.0661811e-03,  1.3458122e-02], dtype=float32), 'joint_velocities': array([-7.5312320e-04,  1.9362067e-03,  8.8092172e-01, -9.3298864e-01,
        2.4407331e-02,  3.8816357e-01], dtype=float32), 'joint_efforts': None, 'joint_indices': [0, 1, 2, 3, 4, 5]}",data/images/camera1/frame_0.npy,data/images/camera2/frame_0.npy
2,"[-0.0026817703619599342, -1.850257396697998, 0.33675628900527954, -0.033497218042612076, 0.0010589163284748793, 0.01351796556264162, 0.004446602426469326, 0.005080285016447306, 0.0174166951328516, 2.712569767027162e-06, 0.038498084992170334, -0.005082627292722464, -0.03734252601861954, 0.004997999407351017]","[0.004446602426469326, 0.005080285016447306]","[0.6002272963523865, 0.2999882698059082, 0.8238813877105713]","[0.8, 0.7, 1.0]","{'joint_positions': array([-2.6850789e-03, -1.8500397e+00,  3.5147682e-01, -4.8930131e-02,
        1.4616915e-03,  1.9988328e-02], dtype=float32), 'joint_velocities': array([ 0.02893349,  0.14429712,  0.5008304 , -0.19822842,  0.04744544,
        0.38976786], dtype=float32), 'joint_efforts': None, 'joint_indices': [0, 1, 2, 3, 4, 5]}",data/images/camera1/frame_0.npy,data/images/camera2/frame_0.npy
3,"[-0.0025104922242462635, -1.8488389253616333, 0.34503695368766785, -0.03709698095917702, 0.0018576221773400903, 0.02004227414727211, 0.0051319291815161705, 0.005410418380051851, 0.010421746410429478, 1.8922341951110866e-06, 0.020968472585082054, -0.005461623892188072, -0.020255379378795624, 0.005442210007458925]","[0.0051319291815161705, 0.005410418380051851]","[0.6002574563026428, 0.2999993562698364, 0.8238813877105713]","[0.8, 0.7, 1.0]","{'joint_positions': array([-0.00223199, -1.8466088 ,  0.3533442 , -0.04051054,  0.00265258,
        0.02653721], dtype=float32), 'joint_velocities': array([-0.04037458,  0.53343415,  0.0451322 ,  0.14808275,  0.4933191 ,
        0.33686453], dtype=float32), 'joint_efforts': None, 'joint_indices': [0, 1, 2, 3, 4, 5]}",data/images/camera1/frame_0.npy,data/images/camera2/frame_0.npy
4,"[-0.0026472052559256554, -1.8424391746520996, 0.34566107392311096, -0.034940194338560104, 0.010105940513312817, 0.02569185197353363, 0.002891944255679846, 0.0028648742008954287, 1.0749585044322885e-06, 0.009204746223986149, -0.0032599889673292637, 0.02006683684885502, 0.0032107667066156864, -0.01939457096159458]","[0.002891944255679846, 0.0028648742008954287]","[0.600257933139801, 0.2999988794326782, 0.8238812685012817]","[0.8, 0.7, 1.0]","{'joint_positions': array([-0.00303214, -1.8353294 ,  0.3464137 , -0.03247427,  0.01832843,
        0.03130616], dtype=float32), 'joint_velocities': array([-0.05368492,  0.63192385, -0.11389743,  0.2522516 ,  0.5984431 ,
        0.31391034], dtype=float32), 'joint_efforts': None, 'joint_indices': [0, 1, 2, 3, 4, 5]}",data/images/camera1/frame_0.npy,data/images/camera2/frame_0.npy
5,"[-0.0032444570679217577, -1.8336303234100342, 0.34359830617904663, -0.03124738670885563, 0.02012193389236927, 0.03095921128988266, 0.0006177584873512387, 0.0004988217260688543, -5.610095286101568e-07, 0.02062835916876793, -0.00046489620581269264, 0.0505136102437973, 0.0004783962504006922, -0.04918455705046654]","[0.0006177584873512387, 0.0004988217260688543]","[0.6002576947212219, 0.29999852180480957, 0.8238810896873474]","[0.8, 0.7, 1.0]","{'joint_positions': array([-0.0039863 , -1.8237085 ,  0.3417004 , -0.02704564,  0.03009572,
        0.03619083], dtype=float32), 'joint_velocities': array([-0.07402071,  0.6461573 , -0.15716252,  0.26818913,  0.6140448 ,
        0.31702328], dtype=float32), 'joint_efforts': None, 'joint_indices': [0, 1, 2, 3, 4, 5]}",data/images/camera1/frame_0.npy,data/images/camera2/frame_0.npy
6,"[-0.004160924814641476, -1.824057936668396, 0.34089288115501404, -0.027099359780550003, 0.03039160557091236, 0.03627876564860344, -1.504244573879987e-05, -6.364415457937866e-05, 0.006466729566454887, 0.02965659461915493, 0.01625753566622734, 0.07349958270788193, -0.01579119823873043, -0.071700319647789]","[-1.504244573879987e-05, -6.364415457937866e-05]","[0.6002578139305115, 0.29999881982803345, 0.8238812685012817]","[0.8, 0.7, 1.0]","{'joint_positions': array([-0.00522523, -1.8135006 ,  0.33822656, -0.02276417,  0.04063088,
        0.0415605 ], dtype=float32), 'joint_velocities': array([-0.07928381,  0.6542945 , -0.16572939,  0.2657891 ,  0.6155974 ,
        0.3204941 ], dtype=float32), 'joint_efforts': None, 'joint_indices': [0, 1, 2, 3, 4, 5]}",data/images/camera1/frame_0.npy,data/images/camera2/frame_0.npy
7,"[-0.0053078792989254, -1.8142926692962646, 0.3380558490753174, -0.022969601675868034, 0.04068651795387268, 0.041655104607343674, -2.9164579245843925e-05, -6.357926758937538e-05, 0.014053990133106709, 0.03169260546565056, 0.03504088521003723, 0.0785309299826622, -0.03411570191383362, -0.07665213942527771]","[-2.9164579245843925e-05, -6.357926758937538e-05]","[0.6002578139305115, 0.2999987304210663, 0.8238812685012817]","[0.8, 0.7, 1.0]","{'joint_positions': array([-0.00653365, -1.8035867 ,  0.3352447 , -0.01866641,  0.0509518 ,
        0.04699376], dtype=float32), 'joint_velocities': array([-0.08137929,  0.657336  , -0.16732661,  0.26139086,  0.6150435 ,
        0.32391495], dtype=float32), 'joint_efforts': None, 'joint_indices': [0, 1, 2, 3, 4, 5]}",data/images/camera1/frame_0.npy,data/images/camera2/frame_0.npy
8,"[-0.006566532421857119, -1.8044657707214355, 0.3351964056491852, -0.018906254321336746, 0.05097246542572975, 0.04708736017346382, -3.671661397675052e-05, -4.78576694149524e-05, 0.01856769248843193, 0.025727752596139908, 0.04633288085460663, 0.06352319568395615, -0.045149821788072586, -0.06192691996693611]","[-3.671661397675052e-05, -4.78576694149524e-05]","[0.600257933139801, 0.29999884963035583, 0.823881208896637]","[0.8, 0.7, 1.0]","{'joint_positions': array([-0.00787056, -1.793711  ,  0.33236423, -0.01467415,  0.06122755,
        0.05248186], dtype=float32), 'joint_velocities': array([-0.08224016,  0.65881956, -0.16793402,  0.256486  ,  0.61403936,
        0.32746485], dtype=float32), 'joint_efforts': None, 'joint_indices': [0, 1, 2, 3, 4, 5]}",data/images/camera1/frame_0.npy,data/images/camera2/frame_0.npy
9,"[-0.007879789918661118, -1.7946101427078247, 0.3323298692703247, -0.014919261448085308, 0.061241935938596725, 0.05257793888449669, -3.439094507484697e-05, -2.157062408514321e-05, 0.01842719130218029, 0.013868965208530426, 0.046006642282009125, 0.03385564312338829, -0.04482996091246605, -0.03291136026382446]","[-3.439094507484697e-05, -2.157062408514321e-05]","[0.6002580523490906, 0.29999876022338867, 0.8238810896873474]","[0.8, 0.7, 1.0]","{'joint_positions': array([-0.00922195, -1.7838289 ,  0.32948792, -0.01076667,  0.07147953,
        0.05803082], dtype=float32), 'joint_velocities': array([-0.08242884,  0.6598514 , -0.16860628,  0.2513502 ,  0.61276686,
        0.33106923], dtype=float32), 'joint_efforts': None, 'joint_indices': [0, 1, 2, 3, 4, 5]}",data/images/camera1/frame_0.npy,data/images/camera2/frame_0.npy
